,year,obs_temp_anomaly,min_uncert,max_uncert
0,1850,-0.37,-0.59,-0.16
1,1851,-0.22,-0.43,-0.02
2,1852,-0.22,-0.43,-0.03
3,1853,-0.27,-0.47,-0.07
4,1854,-0.25,-0.43,-0.07
5,1855,-0.27,-0.45,-0.09
6,1856,-0.35,-0.54,-0.18
7,1857,-0.46,-0.63,-0.29
8,1858,-0.47,-0.64,-0.29
9,1859,-0.29,-0.47,-0.11
10,1860,-0.35,-0.52,-0.16
11,1861,-0.41,-0.59,-0.19
12,1862,-0.53,-0.71,-0.3
13,1863,-0.28,-0.49,-0.06
14,1864,-0.49,-0.69,-0.28
15,1865,-0.27,-0.5,-0.05
16,1866,-0.25,-0.46,-0.03
17,1867,-0.32,-0.52,-0.1
18,1868,-0.23,-0.44,-0.03
19,1869,-0.27,-0.45,-0.07
20,1870,-0.28,-0.44,-0.1
21,1871,-0.33,-0.51,-0.15
22,1872,-0.23,-0.4,-0.06
23,1873,-0.3,-0.47,-0.14
24,1874,-0.38,-0.54,-0.21
25,1875,-0.4,-0.57,-0.25
26,1876,-0.38,-0.54,-0.23
27,1877,-0.08,-0.23,0.08
28,1878,0.04,-0.12,0.19
29,1879,-0.23,-0.38,-0.09
30,1880,-0.23,-0.38,-0.08
31,1881,-0.21,-0.36,-0.06
32,1882,-0.21,-0.36,-0.07
33,1883,-0.3,-0.43,-0.16
34,1884,-0.41,-0.54,-0.27
35,1885,-0.39,-0.52,-0.25
36,1886,-0.37,-0.5,-0.23
37,1887,-0.42,-0.55,-0.29
38,1888,-0.31,-0.44,-0.18
39,1889,-0.17,-0.31,-0.04
40,1890,-0.42,-0.56,-0.29
41,1891,-0.34,-0.48,-0.2
42,1892,-0.46,-0.6,-0.32
43,1893,-0.47,-0.62,-0.34
44,1894,-0.41,-0.55,-0.27
45,1895,-0.39,-0.54,-0.26
46,1896,-0.18,-0.33,-0.05
47,1897,-0.21,-0.35,-0.07
48,1898,-0.41,-0.55,-0.27
49,1899,-0.29,-0.43,-0.15
50,1900,-0.2,-0.34,-0.06
51,1901,-0.26,-0.41,-0.13
52,1902,-0.4,-0.55,-0.28
53,1903,-0.48,-0.62,-0.35
54,1904,-0.52,-0.66,-0.39
55,1905,-0.38,-0.52,-0.25
56,1906,-0.28,-0.43,-0.16
57,1907,-0.47,-0.61,-0.35
58,1908,-0.51,-0.65,-0.4
59,1909,-0.52,-0.66,-0.41
60,1910,-0.49,-0.62,-0.37
61,1911,-0.54,-0.68,-0.44
62,1912,-0.44,-0.57,-0.33
63,1913,-0.43,-0.56,-0.32
64,1914,-0.25,-0.39,-0.14
65,1915,-0.15,-0.31,-0.03
66,1916,-0.38,-0.53,-0.27
67,1917,-0.46,-0.62,-0.35
68,1918,-0.33,-0.49,-0.2
69,1919,-0.27,-0.43,-0.15
70,1920,-0.24,-0.39,-0.12
71,1921,-0.19,-0.32,-0.07
72,1922,-0.3,-0.43,-0.19
73,1923,-0.27,-0.39,-0.16
74,1924,-0.29,-0.42,-0.18
