year,CO2,Other well mixed GHGs,Trop. O3,Strat. O3,Direct Sulphate Aerosol,Aerosol-Cloud Interactions,Biomass Burning Aerosol,Black & Organic Carbon Aerosol,Solar,Volcanic aerosols in Strat.
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0
1752,-0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0
1753,-0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0
1754,-0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0
1755,-0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.66
1756,-0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0
1757,-0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0
1758,-0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0
1759,-0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
1760,-0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.06
1761,-0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-1.09
1762,-0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,-0.3
1763,-0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.09
1764,-0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02
1765,-0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.05,0.0
1766,-0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.05,0.0
1767,-0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,-0.04,0.0
1768,-0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0
1769,-0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0
1770,-0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0
1771,-0.01,0.02,0.01,0.0,0.0,-0.01,0.0,0.0,0.06,0.0
1772,-0.01,0.02,0.01,0.0,0.0,-0.01,0.0,0.0,0.05,-0.07
1773,-0.01,0.02,0.01,0.0,0.0,-0.01,0.0,0.0,0.02,-0.02
